#PACS PointSourceLoss. Version: 4
#Wavelength	Fraction_in1	Fraction_Cto3x3	Fraction_in3x3	Fraction_in5x5
51.0 0.745281 0.780194 0.955251 0.960811
52.0 0.739947 0.780386 0.948181 0.961005
53.0 0.734861 0.780541 0.941477 0.961192
54.0 0.73009 0.780658 0.935224 0.961303
55.0 0.725677 0.780738 0.929476 0.961294
56.0 0.721611 0.780781 0.924217 0.961234
57.0 0.717931 0.780787 0.919497 0.961196
58.0 0.714689 0.780756 0.91538 0.961182596007
59.0 0.711853 0.780689 0.911826 0.961161
60.0 0.709336 0.780586 0.908722 0.961114
61.0 0.707102 0.780446 0.906022 0.961068
62.0 0.705183 0.780271 0.903767 0.960932
63.0 0.703587 0.78006 0.901966 0.960707
64.0 0.702259 0.779813 0.900548 0.960592233623
65.0 0.701129 0.77953 0.899425 0.960458
66.0 0.700171 0.779213 0.898562 0.96015
67.0 0.699388 0.77886 0.897964 0.959826
68.0 0.698773 0.778472 0.897621 0.959674596258
69.0 0.698291 0.778049 0.89749 0.959546
70.0 0.697896 0.777592 0.897509 0.959271
71.0 0.697559 0.7771 0.897644 0.958975
72.0 0.697283 0.776574 0.897896 0.95884418341
73.0 0.697087 0.776014 0.898292 0.958688
74.0 0.696978 0.77542 0.898839 0.958367
75.0 0.696932 0.774792 0.899508 0.958193936639
76.0 0.696897 0.774131 0.900232 0.958024
77.0 0.696819 0.773436 0.90094 0.957702
78.0 0.696666 0.772707 0.901591 0.957510834501
79.0 0.696428 0.771946 0.902172 0.957359
80.0 0.696114 0.771152 0.902694 0.957126
81.0 0.695728 0.770325 0.903162 0.957010123129
82.0 0.695271 0.769465 0.903577 0.956984
83.0 0.694731 0.768573 0.903923 0.956966105143
84.0 0.6941 0.767649 0.904189 0.956984
85.0 0.693369 0.766693 0.904364 0.957067
86.0 0.692541 0.765704 0.90445 0.957157627661
87.0 0.691627 0.764684 0.904461 0.957234
88.0 0.690643 0.763633 0.904418 0.957293192217
89.0 0.689602 0.76255 0.904337 0.957347
90.0 0.688515 0.761435 0.904233 0.957396728473
91.0 0.68738 0.76029 0.904102 0.957387
92.0 0.686188 0.759114 0.903933 0.957284
93.0 0.684922 0.757907 0.903702 0.95716542377
94.0 0.683564 0.756669 0.903386 0.957019
95.0 0.682098 0.755401 0.902961 0.956810304261
96.0 0.680518 0.754103 0.90242 0.956542
97.0 0.678824 0.752775 0.901762 0.956221609185
98.0 0.677024 0.751417 0.900997 0.955839
99.0 0.675131 0.750029 0.90014 0.955390508998
100.0 0.67316 0.748612 0.899211 0.954916
101.0 0.671122 0.747165 0.898225 0.954442854822
102.0 0.669024 0.745689 0.897189 0.953905
103.0 0.666867 0.744184 0.896105 0.953246446713
104.0 0.66465 0.74265 0.89497 0.952545
105.0 0.662369 0.741088 0.89378 0.951896983326
106.0 0.66002 0.739497 0.892526 0.951339
107.0 0.657602 0.737877 0.891208 0.950863744982
108.0 0.655113 0.73623 0.889822 0.950348
109.0 0.652558 0.734554 0.888373 0.949691661747
110.0 0.649941 0.732851 0.886867 0.949003
111.0 0.647271 0.731119 0.885315 0.948407129503
112.0 0.644556 0.729361 0.883727 0.947888171768
113.0 0.641805 0.727575 0.882116 0.947395
114.0 0.639023 0.725761 0.880486 0.946887674006
115.0 0.636218 0.723921 0.87885 0.946371
116.0 0.633393 0.722054 0.87721 0.945858148397
117.0 0.63055 0.720161 0.875569 0.945351
118.0 0.62769 0.71824 0.873927 0.944853155506
119.0 0.624811 0.716294 0.872283 0.944386384785
120.0 0.621912 0.714321 0.870633 0.943977
121.0 0.618989 0.712323 0.868973 0.943629358703
122.0 0.61604 0.710298 0.867298 0.94326
123.0 0.613063 0.708248 0.865605 0.942799949842
124.0 0.610056 0.706172 0.863891 0.942326
125.0 0.607019 0.704072 0.862155 0.941923936123
126.0 0.603954 0.701946 0.8604 0.941569753539
127.0 0.600864 0.699795 0.858629 0.941212
128.0 0.597752 0.697619 0.856846 0.940816851873
129.0 0.594624 0.695418 0.855059 0.940421
130.0 0.591484 0.693193 0.853274 0.940067970638
131.0 0.588341 0.690944 0.851503 0.939758117226
132.0 0.585198 0.688671 0.84975 0.939481
133.0 0.582061 0.686374 0.848023 0.939225747054
134.0 0.578935 0.684053 0.846331 0.938979757923
135.0 0.575823 0.681708 0.844677 0.93873
136.0 0.572727 0.67934 0.843064 0.93847118476
137.0 0.569648 0.676949 0.841494 0.938229
138.0 0.566586 0.674534 0.839966 0.938028598066
139.0 0.56354 0.672097 0.838481 0.937862013173
140.0 0.560507 0.669636 0.837032 0.937713
141.0 0.557485 0.667154 0.835617 0.937567352577
142.0 0.554471 0.664649 0.834232 0.937419022321
143.0 0.551461 0.662121 0.83287 0.937264
